"(64.95833333333334, 1)","(63.81104651162791, 3)","(62.666666666666664, 5)","(62.32692307692308, 15)","(61.426829268292686, 13)","(60.27777777777778, 7)","(59.17796610169491, 10)","(57.2609649122807, 2)","(56.707044673539514, 6)","(55.41161616161616, 16)"
"(50.614159891598916, 6105)","(49.79388396156689, 294)","(48.86538461538461, 316)","(48.56884057971014, 314)","(47.48815934824634, 812)","(46.83333333333333, 611)","(46.21008158508158, 4868)","(46.172480620155035, 313)","(46.02665899501342, 581)","(45.65237352737353, 295)"
"(75.35119047619048, 2522)","(69.74358974358975, 1849)","(67.58690476190476, 4752)","(65.03629032258064, 434)","(64.18872549019608, 435)","(63.17460317460318, 1164)","(62.17068273092369, 5451)","(60.714912280701746, 2710)","(58.40295358649789, 5795)","(58.0784632034632, 2434)"
"(75.05357142857143, 4752)","(72.2051282051282, 1848)","(67.95409604519773, 2522)","(65.0698051948052, 435)","(64.58088235294117, 434)","(64.16183574879227, 5159)","(63.1578947368421, 1164)","(61.97126436781609, 5451)","(60.436274509803916, 2710)","(57.76877289377289, 2434)"
"(47.676829268292686, 4071)","(47.45328282828283, 4318)","(47.31410256410256, 4078)","(46.86046511627907, 2031)","(46.81678082191781, 706)","(46.75735294117647, 2821)","(46.568627450980394, 1614)","(46.5527108433735, 5659)","(46.35, 4047)","(46.21341463414634, 3851)"
"(48.525, 2515)","(48.248168498168496, 2453)","(46.93689320388349, 1637)","(46.83734939759036, 6037)","(46.03378378378378, 2732)","(45.755338733431515, 2942)","(44.70183982683982, 4271)","(44.34770114942529, 3632)","(44.09803921568627, 4890)","(43.969696969696976, 4275)"
"(50.90239726027397, 2468)","(50.20454545454545, 3914)","(49.75, 4376)","(49.425324675324674, 4361)","(49.05410447761194, 3004)","(48.9260752688172, 4043)","(48.52739726027397, 1644)","(47.8433908045977, 4210)","(47.82692307692308, 4618)","(47.75, 4253)"
"(42.0, 1964)","(40.75, 3564)","(38.654761904761905, 4117)","(38.166666666666664, 5864)","(37.97826086956522, 6058)","(37.804263565891475, 3859)","(37.65833333333333, 5547)","(37.47316384180791, 4135)","(37.291666666666664, 5753)","(36.90023474178403, 690)"
"(53.16281628162816, 1738)","(46.829749103942646, 5825)","(46.541666666666664, 3205)","(45.685142711518864, 3606)","(45.63063063063063, 1740)","(44.96513605442177, 4925)","(44.797480620155035, 911)","(44.02272727272727, 998)","(43.90367965367965, 219)","(43.59518970189702, 5322)"
"(51.89035087719298, 2696)","(50.970238095238095, 1082)","(50.66917670682731, 4403)","(50.40561224489796, 1137)","(50.211633663366335, 1733)","(50.16666666666667, 4590)","(50.03985507246377, 3715)","(50.006410256410255, 4282)","(49.979885057471265, 3804)","(49.77295918367347, 2439)"
"(43.61111111111111, 5430)","(41.9189497716895, 4204)","(41.54042288557214, 2951)","(41.45833333333333, 339)","(41.390243902439025, 5491)","(41.118421052631575, 855)","(41.022689768976896, 148)","(40.34493127147766, 110)","(39.31730769230769, 5016)","(37.83333333333333, 516)"
"(56.169117647058826, 2928)","(51.1359649122807, 4115)","(48.73611111111111, 5346)","(48.54430379746835, 1526)","(47.4188596491228, 3149)","(46.27450980392157, 2113)","(46.23913043478261, 3098)","(46.20639534883721, 5601)","(46.16025641025641, 3642)","(46.11585365853659, 3918)"
"(50.111111111111114, 3308)","(48.33333333333333, 3309)","(45.56127450980392, 1510)","(44.608333333333334, 2068)","(43.94396551724138, 1583)","(42.58333333333333, 3293)","(41.29931972789115, 3119)","(41.291666666666664, 978)","(40.875, 4137)","(40.78769841269841, 2284)"
"(49.81327160493827, 2477)","(46.99211711711712, 2257)","(46.28070175438596, 1617)","(46.26602564102564, 5601)","(46.06547619047619, 1758)","(45.577586206896555, 4675)","(45.520161290322584, 2599)","(45.52016129032258, 1263)","(45.471393034825866, 3294)","(45.401119402985074, 5543)"
"(48.141666666666666, 4351)","(47.375, 4703)","(46.83244680851064, 4729)","(45.81927710843374, 2929)","(45.75, 5518)","(45.58333333333333, 3675)","(45.5, 3506)","(44.45833333333333, 3585)","(44.42479674796748, 1170)","(44.398809523809526, 3534)"
"(47.120253164556964, 1671)","(46.98132183908046, 4727)","(46.846774193548384, 3856)","(46.779761904761905, 2510)","(45.675925925925924, 4249)","(45.47945205479452, 2023)","(45.40813253012048, 5792)","(45.339285714285715, 5247)","(45.339285714285715, 558)","(45.225, 5409)"
"(58.35326086956522, 3356)","(45.625, 2919)","(42.84036796536796, 2650)","(42.666666666666664, 2918)","(42.54629629629629, 1808)","(41.7434422921711, 2458)","(41.48774509803921, 5220)","(41.291666666666664, 4861)","(41.23758865248227, 6026)","(41.09166666666667, 5332)"
"(62.02272727272727, 823)","(59.26515151515151, 55)","(55.40909090909091, 736)","(55.18885281385281, 3125)","(52.391025641025635, 830)","(51.93885281385281, 179)","(51.68859649122807, 474)","(51.541666666666664, 4003)","(48.74108015640273, 2069)","(47.60606060606061, 140)"
"(48.60652920962199, 5236)","(46.49264705882353, 289)","(46.21969696969697, 325)","(46.02564102564102, 1666)","(44.5, 477)","(43.81347352024922, 95)","(43.38888888888889, 4114)","(42.77761044176707, 701)","(42.677989456026836, 239)","(42.47446236559139, 97)"
"(63.07396640826873, 1053)","(60.39102564102564, 948)","(58.51136363636364, 1187)","(58.028688524590166, 876)","(57.95, 3433)","(57.428940568475454, 1573)","(55.867063492063494, 1390)","(53.68778538812785, 2276)","(53.4929718875502, 748)","(52.57602184637068, 1095)"
"(50.26724137931035, 4177)","(49.73809523809524, 568)","(49.125, 129)","(48.84935897435898, 1350)","(48.75, 776)","(48.27743902439025, 394)","(47.833333333333336, 1470)","(47.30538493038493, 1233)","(45.83561643835616, 5781)","(45.81547619047619, 555)"
"(53.96666666666666, 1302)","(51.56962025316456, 2213)","(51.416666666666664, 3917)","(50.565627202255115, 1245)","(50.144444444444446, 2071)","(49.90064102564102, 2063)","(49.69078947368421, 913)","(49.24038461538461, 2285)","(48.90458937198067, 4698)","(48.872807017543856, 3817)"
"(47.926948051948045, 1602)","(47.8429675994109, 5881)","(47.53021978021978, 5540)","(47.42857142857142, 3190)","(47.41410488245931, 3006)","(47.226524879614765, 3115)","(47.19449225473321, 2831)","(47.1765873015873, 1683)","(47.12327188940092, 4160)","(47.01298701298701, 1203)"
"(43.92000580720092, 4555)","(42.93360805860806, 1411)","(41.646871539313395, 3316)","(41.11694677871148, 5136)","(40.99698303979126, 3744)","(40.52570921985816, 3953)","(39.791666666666664, 3753)","(38.734062980030714, 6083)","(37.266025641025635, 5905)","(36.720238095238095, 5497)"
"(52.442567567567565, 1314)","(51.64655172413793, 4676)","(51.52155172413793, 5020)","(51.095588235294116, 3567)","(50.851694915254235, 4593)","(50.63235294117647, 3628)","(50.45662100456621, 1580)","(50.11309523809524, 2460)","(50.000786163522015, 2631)","(49.68150684931507, 4587)"
"(54.44449225473321, 2845)","(51.041666666666664, 4080)","(50.46639784946237, 2182)","(50.14705882352941, 3784)","(49.92620481927711, 5198)","(49.26268115942029, 5145)","(49.09577922077922, 2063)","(48.71061643835616, 3040)","(48.710396039603964, 4232)","(48.672619047619044, 5011)"
"(44.6656976744186, 1591)","(44.060483870967744, 5291)","(42.44835550628233, 4981)","(42.314862542955325, 2904)","(41.22993827160494, 4749)","(41.17194092827004, 5904)","(41.083333333333336, 6090)","(41.00925925925926, 4621)","(40.988095238095234, 3839)","(40.90427927927928, 5695)"
"(48.87844611528822, 5851)","(41.18103448275862, 267)","(41.09862869198312, 2534)","(40.39708835341365, 1173)","(40.21689497716895, 1943)","(40.06278538812785, 792)","(40.03972868217054, 2617)","(39.759803921568626, 2165)","(39.579337899543376, 3582)","(39.558232931726906, 1501)"
"(50.05518018018017, 1637)","(49.66098180845372, 4451)","(48.337702871410734, 5261)","(48.00378787878788, 2842)","(45.30559646539028, 2744)","(44.23944526264114, 5574)","(42.7941995947315, 6069)","(42.135162601626014, 1725)","(42.108511586452764, 1820)","(42.00324675324675, 1171)"
"(38.391057585825024, 2994)","(36.88333333333333, 3210)","(34.15036231884058, 1346)","(33.95833333333333, 3988)","(33.155797101449274, 3361)","(32.80833333333333, 3150)","(32.25595238095238, 704)","(32.23532863849765, 1801)","(32.21982758620689, 3829)","(32.213235294117645, 1315)"
"(64.64772727272728, 1263)","(55.79807692307692, 2929)","(54.88548752834467, 6028)","(54.83333333333333, 528)","(53.935606060606055, 3006)","(53.91256157635468, 4505)","(51.62370600414079, 3585)","(51.467948717948715, 3512)","(51.32381959126145, 590)","(50.959119496855344, 1913)"
"(50.99028822055138, 2546)","(49.59496124031007, 4564)","(49.004844961240316, 4749)","(48.41666666666667, 3839)","(48.325549450549445, 1137)","(48.13148742643124, 4590)","(48.0184331797235, 1855)","(47.630102040816325, 1082)","(47.19845491388045, 5290)","(46.919134727061554, 3024)"
"(51.713578500707214, 5867)","(51.03769841269841, 5190)","(49.5006038647343, 3378)","(48.19693613879661, 5535)","(47.91684704184704, 5548)","(47.845238095238095, 3254)","(47.25274725274725, 2360)","(46.68059646539028, 3081)","(46.43689320388349, 3965)","(45.900459688826025, 1803)"
"(53.997807017543856, 4192)","(51.74999999999999, 2693)","(51.24873737373737, 3967)","(49.82738095238095, 2147)","(49.19932432432432, 3946)","(49.08552631578947, 4505)","(48.70161290322581, 5359)","(47.95192307692308, 1876)","(47.68689320388349, 1263)","(47.64972527472528, 2562)"
"(53.38315850815851, 2903)","(42.74679487179487, 3013)","(42.539965986394556, 1405)","(41.775183150183146, 617)","(41.21230158730158, 3883)","(41.107142857142854, 392)","(41.10648148148148, 6025)","(40.78204172876304, 3632)","(40.58712121212121, 1246)","(40.44642857142857, 811)"
"(56.58914728682171, 2866)","(53.14285714285714, 4404)","(47.68364197530864, 3432)","(47.32088744588745, 4049)","(45.766129032258064, 2712)","(45.238095238095234, 3420)","(45.1025641025641, 5192)","(44.214285714285715, 1441)","(44.19517543859649, 1701)","(44.05701754385965, 3411)"
"(40.78603603603604, 4187)","(38.68939393939394, 3216)","(37.95833333333333, 2813)","(37.06410256410256, 3787)","(35.930348258706466, 3898)","(34.89847417840376, 3793)","(34.70833333333333, 3013)","(33.992248062015506, 5867)","(33.888888888888886, 6037)","(33.69198312236287, 1335)"
"(51.06716417910448, 5138)","(47.52777777777777, 2143)","(46.61742424242424, 2355)","(45.739495798319325, 6016)","(45.000541125541126, 1079)","(44.03846153846154, 2123)","(43.28787878787879, 5187)","(42.56547619047619, 929)","(42.47357723577235, 3713)","(42.43333333333333, 1525)"
"(62.10294117647059, 3792)","(61.416666666666664, 3750)","(54.088050314465406, 1956)","(53.33333333333333, 1957)","(52.99324324324324, 3610)","(52.17424242424242, 4496)","(52.11810776942356, 2731)","(51.875, 3184)","(51.04032258064516, 3595)","(50.9264705882353, 4123)"
"(50.472938144329895, 1079)","(49.83244680851064, 3210)","(48.829787234042556, 2392)","(48.75, 3521)","(48.68247126436782, 4151)","(48.063538205980066, 3889)","(48.03963414634146, 5154)","(47.970238095238095, 2840)","(47.8703007518797, 2767)","(47.17816091954023, 4048)"
"(55.28525641025641, 2500)","(47.763888888888886, 2501)","(42.40277777777778, 5194)","(42.09722222222222, 2306)","(42.01785714285714, 2276)","(42.00896624472574, 4903)","(41.97303921568627, 1413)","(41.54385964912281, 2141)","(41.49122807017544, 1573)","(41.416666666666664, 4102)"
"(60.06387505188875, 2750)","(54.33333333333333, 2160)","(54.09068627450981, 2922)","(52.748917748917755, 1406)","(49.15036440352896, 1447)","(47.89562289562289, 1755)","(47.29924242424242, 3126)","(47.24576271186441, 1974)","(46.78734507501631, 2112)","(46.31089743589743, 3199)"
"(67.97023809523809, 1132)","(64.88918439716312, 1316)","(61.05357142857143, 621)","(58.746148459383754, 1333)","(48.740546218487395, 1111)","(47.76225490196079, 635)","(47.69662921348315, 1240)","(46.04494382022472, 2049)","(46.035714285714285, 877)","(45.55681818181818, 1901)"
"(76.47268907563026, 3082)","(71.19373776908023, 1495)","(66.44318181818181, 5076)","(61.213592233009706, 1562)","(59.08734939759036, 4444)","(55.69047619047618, 5673)","(54.875, 2917)","(51.7479674796748, 2125)","(50.11904761904762, 5604)","(48.55921052631579, 2850)"
"(39.368421052631575, 1809)","(38.045197740113, 2093)","(37.95833333333333, 5935)","(36.81884057971014, 5458)","(36.13970588235294, 5982)","(35.97222222222222, 4345)","(35.77298850574712, 3740)","(35.69871794871795, 3367)","(35.65731292517007, 2950)","(35.47435897435897, 4817)"
"(50.0514705882353, 2589)","(49.81366459627329, 1501)","(49.30681818181818, 914)","(49.276162790697676, 5545)","(48.7275641025641, 3092)","(48.71825396825397, 907)","(47.79960317460318, 719)","(47.508620689655174, 3634)","(47.018225331369656, 4636)","(46.94178082191781, 773)"
"(50.66447368421053, 3522)","(50.125, 3616)","(50.10876623376623, 1683)","(49.85256410256411, 5213)","(49.46516393442623, 4702)","(49.08552631578947, 3123)","(48.93297101449275, 1569)","(48.91228070175438, 3190)","(48.84848484848485, 3006)","(48.79807692307692, 3418)"
"(42.76731601731602, 4383)","(41.862554112554115, 3385)","(41.33333333333333, 5892)","(40.583333333333336, 3770)","(40.07634032634032, 3594)","(39.75, 4615)","(39.17546948356807, 2660)","(38.372549019607845, 1501)","(37.9792663476874, 890)","(37.70833333333333, 1295)"
"(49.00305810397553, 2133)","(48.39148351648352, 1749)","(47.14772727272727, 3174)","(46.33896396396396, 2347)","(46.29656862745098, 3268)","(45.93055555555556, 3172)","(45.80747126436782, 3918)","(45.140243902439025, 4050)","(44.625, 5543)","(44.581043956043956, 5601)"
"(43.10405643738977, 1461)","(40.74047619047619, 1937)","(40.43290043290043, 1593)","(39.98855311355311, 2905)","(39.84925997425997, 1348)","(39.37301587301587, 4629)","(39.12257495590829, 2068)","(38.86730545876887, 825)","(38.78525641025641, 1412)","(38.74780701754386, 3675)"
"(52.21084337349397, 5864)","(48.5594262295082, 5685)","(47.787974683544306, 4617)","(46.94384057971015, 5753)","(46.78164556962025, 186)","(46.25, 690)","(46.18041871921182, 2780)","(45.875, 5075)","(45.708333333333336, 828)","(44.16818936877076, 5662)"
"(49.38204225352113, 1047)","(48.300925925925924, 1063)","(45.57692307692308, 1496)","(44.11128691983122, 3210)","(44.08333333333333, 3914)","(43.07461240310077, 678)","(42.94871794871795, 1549)","(42.77777777777778, 1852)","(42.69517543859649, 5747)","(42.66421568627451, 4043)"
"(48.25797872340426, 3028)","(47.43452380952381, 4466)","(46.92151162790698, 1055)","(46.71639784946237, 2231)","(46.693820224719104, 4378)","(46.589285714285715, 2346)","(46.30882352941177, 4382)","(46.28378378378378, 2121)","(46.075, 2227)","(45.925925925925924, 1302)"
"(43.41994382022472, 2586)","(41.48717948717949, 4964)","(40.47659176029963, 1491)","(40.39880952380952, 3668)","(40.375, 1915)","(40.30833333333333, 3925)","(39.672619047619044, 1774)","(39.52777777777778, 3313)","(39.51445578231292, 3550)","(39.464285714285715, 155)"
"(59.46789727126806, 3620)","(35.69751082251082, 2126)","(34.74467418546366, 2282)","(34.15833333333333, 4856)","(33.77749140893471, 4095)","(33.22313384813385, 1229)","(33.09166666666667, 607)","(33.081780538302276, 6002)","(33.05555555555556, 4905)","(33.015151515151516, 1541)"
"(50.76315789473684, 5616)","(48.82661290322581, 1240)","(48.36373873873874, 877)","(47.54651162790698, 3731)","(47.406565656565654, 5135)","(47.208333333333336, 2653)","(46.92045454545455, 1888)","(46.9009684473602, 2351)","(46.67948717948718, 2657)","(46.560483870967744, 900)"
"(49.06944444444444, 5540)","(48.96052631578947, 3616)","(48.68452380952381, 2831)","(48.43452380952381, 4160)","(48.330882352941174, 3805)","(48.153688524590166, 2987)","(48.075, 3190)","(47.857142857142854, 1683)","(47.76225490196079, 5015)","(47.64855072463768, 3115)"
"(47.19047619047619, 4671)","(46.207142857142856, 3917)","(45.39705882352941, 4676)","(45.37920168067227, 1245)","(45.192307692307686, 1302)","(45.17191183404055, 4985)","(44.95238095238095, 2109)","(44.738945578231295, 1322)","(44.71760797342193, 1867)","(44.65425531914894, 1054)"
"(55.634408602150536, 1913)","(54.35511033681765, 3563)","(52.573129251700685, 4036)","(51.43117445755061, 5000)","(51.4271978021978, 4299)","(50.7732683982684, 2833)","(50.65208667736757, 3484)","(50.51268115942029, 2543)","(50.31944444444444, 4725)","(50.00487012987013, 3104)"
"(43.48611111111111, 396)","(42.09803921568627, 3284)","(41.416666666666664, 1293)","(41.357142857142854, 3463)","(40.60294117647059, 5448)","(40.42391304347826, 4901)","(39.83333333333333, 3067)","(38.9327731092437, 3387)","(38.509803921568626, 3278)","(38.33991228070175, 1711)"
"(42.607142857142854, 3036)","(41.88396624472574, 4104)","(40.5919540229885, 5654)","(39.166666666666664, 1939)","(38.189655172413794, 1400)","(38.08653846153846, 4767)","(37.95833333333333, 4856)","(37.906786941580755, 607)","(37.76418439716312, 4095)","(37.340375586854464, 5606)"
"(55.66103603603604, 922)","(51.94318181818182, 2768)","(38.023809523809526, 5177)","(33.625, 1195)","(33.51370851370851, 2828)","(33.46762974852862, 1723)","(33.44642857142857, 1202)","(32.83018207282913, 3917)","(32.699884792626726, 1302)","(32.69973544973545, 1339)"
"(47.31818181818182, 668)","(47.11486486486486, 1348)","(47.06018518518518, 2792)","(46.22282608695652, 1586)","(45.58561643835616, 5557)","(45.41666666666667, 5749)","(45.35606060606061, 4313)","(45.25992063492063, 4629)","(44.88970588235294, 282)","(44.843896713615024, 5611)"
"(45.99780701754386, 2958)","(45.16267123287671, 2216)","(45.10945273631841, 2136)","(45.08552631578947, 3406)","(44.92156862745098, 2059)","(44.5787037037037, 2697)","(44.46474358974359, 1170)","(44.30921052631579, 3675)","(44.21913580246913, 4037)","(44.0, 1484)"
"(49.7530487804878, 1121)","(49.26275510204081, 3035)","(48.34733893557423, 1461)","(48.2766973125884, 1267)","(46.8484219269103, 2905)","(46.63530927835052, 3675)","(46.086633663366335, 3534)","(45.93560606060606, 1170)","(45.83294930875576, 825)","(45.73267326732673, 1618)"
"(47.46062271062271, 967)","(47.079365079365076, 507)","(46.62763713080168, 5234)","(46.11111111111111, 2052)","(45.34799651567944, 4731)","(44.77549751243781, 2767)","(44.7275641025641, 5830)","(43.20833333333333, 3935)","(42.96202791461412, 3222)","(42.684981684981686, 4927)"
"(47.83919098143237, 1015)","(47.003787878787875, 239)","(46.90089134125636, 238)","(45.509296415195294, 561)","(44.26785714285714, 233)","(43.773809523809526, 352)","(43.16885964912281, 741)","(43.03084415584416, 32)","(42.40833333333334, 1814)","(42.403688524590166, 138)"
"(60.26515151515151, 4287)","(59.46153846153846, 1965)","(55.36569487213817, 2833)","(54.791666666666664, 1759)","(54.56927710843374, 4036)","(53.763888888888886, 2592)","(53.55188280986153, 5000)","(53.27072310405644, 5096)","(53.141666666666666, 5158)","(52.902027027027025, 5748)"
"(44.21014492753623, 5955)","(43.95122887864823, 4045)","(43.872525414660245, 3864)","(43.63095238095239, 202)","(43.08712121212121, 1091)","(43.01418439716312, 1569)","(42.39921080791867, 5011)","(42.187056737588655, 5711)","(41.3939393939394, 1811)","(41.36342139595564, 5515)"
"(51.222938144329895, 4964)","(48.426767676767675, 4703)","(47.94444444444444, 3668)","(47.63365800865801, 461)","(47.53164556962025, 1930)","(47.41885964912281, 1640)","(47.123493975903614, 2408)","(47.1216814159292, 4729)","(47.050324675324674, 3192)","(47.01225490196079, 1465)"
"(49.220238095238095, 2322)","(42.684365781710916, 2708)","(42.541666666666664, 704)","(40.95833333333333, 4277)","(40.625, 5281)","(40.54934715821812, 2994)","(40.03525641025641, 5256)","(39.898102310231025, 2077)","(39.30864197530864, 2223)","(38.922480620155035, 1642)"
"(41.49012027491409, 2507)","(41.222172217221726, 6098)","(40.31189320388349, 929)","(39.69480519480519, 5471)","(39.11742424242424, 1113)","(39.05571538166475, 3770)","(39.04012345679013, 4027)","(38.66914191419142, 3594)","(38.63945578231292, 1501)","(38.08333333333333, 5191)"
"(55.56493506493507, 6089)","(51.3768115942029, 1791)","(45.43613707165109, 441)","(44.57397959183673, 4603)","(44.34469696969697, 811)","(43.495098039215684, 4480)","(43.25706214689265, 443)","(43.03787878787879, 324)","(42.97094801223241, 444)","(42.82017543859649, 4858)"
"(50.958408679927665, 1400)","(50.53702090592334, 2569)","(48.704365079365076, 484)","(48.14027538726334, 5783)","(48.105277185501066, 3243)","(47.713235294117645, 1553)","(47.357142857142854, 3937)","(47.302565392354126, 5647)","(46.81766917293233, 810)","(46.003767329716695, 3102)"
"(46.803838951310865, 2248)","(43.60652920962199, 5854)","(43.04081632653061, 1564)","(42.68627450980392, 1966)","(42.54385964912281, 1788)","(42.164377289377285, 941)","(41.32281931464175, 606)","(40.797619047619044, 4063)","(40.484649122807014, 4332)","(40.43971631205673, 1720)"
"(67.65277777777777, 458)","(57.03395061728395, 456)","(51.99621212121212, 1071)","(51.541666666666664, 441)","(50.319105691056905, 457)","(49.32702020202019, 324)","(48.626831501831504, 509)","(45.71016483516483, 4480)","(45.337046204620464, 1918)","(44.89708835341365, 340)"
"(67.65261044176707, 4748)","(63.92045454545455, 6091)","(61.67982456140351, 943)","(61.118686868686865, 285)","(59.493589743589745, 2867)","(56.916666666666664, 222)","(48.890243902439025, 4425)","(48.75288778877888, 2076)","(48.61373873873874, 2817)","(47.75833333333333, 3831)"
"(48.44047619047619, 3594)","(47.098765432098766, 1501)","(46.56944444444444, 660)","(46.516025641025635, 965)","(46.33658008658009, 1891)","(46.006830601092894, 907)","(45.000541125541126, 914)","(44.54166666666667, 5545)","(44.3231981981982, 2589)","(44.13743781094528, 3803)"
"(48.09837092731829, 4590)","(48.075, 2623)","(47.93996415770609, 4082)","(47.35557053009883, 4107)","(47.34834368530021, 4621)","(46.7297619047619, 5290)","(46.702838827838825, 2473)","(46.62763713080168, 3607)","(46.163120567375884, 1629)","(45.968408309903154, 3201)"
"(75.57352941176471, 5764)","(38.72727272727273, 5394)","(38.494623655913976, 1899)","(37.875, 5651)","(37.56089743589743, 1479)","(37.05046948356807, 4926)","(36.12159863945578, 5858)","(36.07035519125682, 2250)","(36.06702898550725, 1534)","(35.78030303030303, 3582)"
"(48.6844262295082, 3985)","(44.030797101449274, 5469)","(43.70833333333333, 2609)","(43.39912280701754, 4541)","(42.85539215686274, 3250)","(42.41472868217054, 5857)","(42.116402116402114, 2134)","(41.70833333333333, 2306)","(41.092136150234744, 5852)","(41.03787878787879, 3942)"
"(54.17777777777778, 2351)","(50.285377358490564, 5897)","(49.94047619047619, 2912)","(49.580882352941174, 1760)","(49.56927710843374, 1183)","(49.0510752688172, 5012)","(49.040780141843975, 1118)","(48.925632911392405, 3592)","(48.8469387755102, 5616)","(48.83561643835616, 2388)"
"(52.01209677419355, 5386)","(51.43032786885246, 4837)","(51.378787878787875, 6033)","(51.27412280701754, 5806)","(51.20833333333333, 2929)","(51.06578947368421, 3595)","(51.00137362637362, 3420)","(50.95652173913044, 1998)","(50.94894366197183, 4766)","(50.94078947368421, 5000)"
"(46.041666666666664, 1093)","(45.845238095238095, 4703)","(45.32432432432432, 1686)","(44.95833333333333, 5012)","(44.36904761904762, 3688)","(43.98611111111111, 2759)","(43.87244897959184, 4729)","(43.85526315789474, 1646)","(43.85201149425288, 2929)","(43.85057471264368, 1075)"
"(64.71713615023474, 3576)","(57.794117647058826, 1942)","(50.06716417910448, 3668)","(49.083333333333336, 2408)","(49.041666666666664, 2945)","(48.94932432432432, 4964)","(48.54430379746835, 1915)","(48.118421052631575, 4703)","(47.498134328358205, 5205)","(47.41930379746835, 1465)"
"(45.43055555555556, 5474)","(44.2359022556391, 5498)","(41.80952380952381, 4491)","(41.53947368421053, 2947)","(41.20833333333333, 5150)","(40.131410256410255, 5786)","(39.30028735632184, 955)","(39.264830508474574, 4606)","(38.50456621004566, 4914)","(37.729885057471265, 5426)"
"(60.95833333333333, 5467)","(43.10810810810811, 3071)","(42.31127450980392, 5128)","(42.15909090909091, 2106)","(40.791666666666664, 2077)","(40.2804054054054, 1619)","(40.00053304904051, 4483)","(39.94444444444444, 2602)","(39.617063492063494, 3480)","(39.09946236559139, 1048)"
"(63.07519640852974, 1696)","(53.85714285714286, 1668)","(49.24206349206349, 3565)","(48.35263835263835, 1681)","(44.88892979872361, 4282)","(43.95, 3839)","(42.732142857142854, 1881)","(42.609496124031004, 4749)","(42.15748498813015, 3928)","(41.49534044386985, 2473)"
"(49.464285714285715, 3279)","(49.04761904761905, 1760)","(48.76190476190476, 1669)","(48.63970588235294, 2351)","(48.61184210526316, 1132)","(48.60977998794454, 952)","(48.50245098039216, 1183)","(48.49576271186441, 3202)","(48.10805860805861, 5897)","(48.083333333333336, 906)"
"(43.88157894736842, 2856)","(43.39880952380952, 2807)","(42.95, 1508)","(42.56915807560137, 4293)","(42.273809523809526, 1878)","(42.09432234432234, 1021)","(41.93506493506493, 2228)","(41.908172819689675, 1418)","(41.725853548966754, 1803)","(41.19444444444444, 605)"
"(45.373711340206185, 2534)","(45.18181818181818, 2485)","(44.779411764705884, 2497)","(43.625, 780)","(43.37623762376238, 1173)","(43.214912280701746, 4365)","(43.09550561797753, 6075)","(42.44845491388045, 1842)","(42.335317460317455, 1194)","(42.28182461103253, 5333)"
"(58.56892230576441, 4175)","(50.39705882352941, 1593)","(49.595238095238095, 2643)","(48.201860841423944, 2730)","(47.95, 1530)","(47.18181818181818, 3896)","(47.12765957446808, 4915)","(47.05, 2068)","(46.94444444444444, 3145)","(46.693820224719104, 2130)"
"(46.87852112676056, 1250)","(45.67647058823529, 973)","(40.84469696969697, 1288)","(40.58333333333333, 2075)","(39.86050724637681, 2972)","(39.68627450980392, 4406)","(39.416666666666664, 1129)","(39.06944444444444, 990)","(39.01754385964912, 731)","(38.646929824561404, 3249)"
"(39.25, 4928)","(38.56159420289855, 4097)","(38.48989898989899, 5654)","(38.2313829787234, 5690)","(38.19197819314641, 5110)","(37.48529411764706, 4206)","(37.207044673539514, 4489)","(37.18627450980392, 3947)","(36.76114488348531, 3503)","(36.62106918238993, 4095)"
"(54.83122119815668, 5616)","(53.809065934065934, 2912)","(52.40277777777778, 667)","(49.75, 832)","(49.41666666666667, 877)","(48.63530927835052, 5135)","(48.53763440860215, 1838)","(47.20454545454545, 2653)","(47.201465201465204, 958)","(46.66125541125541, 277)"
"(44.765694076038905, 3619)","(44.0, 4439)","(43.8094262295082, 2533)","(43.57427536231884, 2513)","(43.33333333333333, 1258)","(42.625, 3625)","(42.11521592442645, 4532)","(40.833333333333336, 1344)","(40.73901098901099, 4893)","(40.15277777777778, 4709)"
"(55.44117647058823, 1930)","(50.32954545454545, 3192)","(50.31962025316456, 4460)","(50.31224899598393, 3297)","(49.80263157894737, 3925)","(49.71016483516483, 1186)","(49.625, 5339)","(49.18196202531645, 5205)","(48.70833333333333, 4387)","(48.568661971830984, 5210)"
"(42.40277777777778, 4418)","(41.665129556433904, 5418)","(39.70670995670996, 3377)","(39.50896624472574, 4728)","(39.39275956284153, 4721)","(39.323819591261454, 3609)","(38.78333333333333, 3086)","(38.6042663476874, 3582)","(38.573059360730596, 1873)","(38.45283882783883, 3580)"
"(51.62997903563941, 2521)","(48.24141749723145, 2256)","(47.553030303030305, 888)","(45.44444444444444, 94)","(43.33271144278607, 932)","(42.76854928017718, 3187)","(42.406565656565654, 5725)","(41.6547619047619, 5575)","(41.43981481481482, 510)","(41.25595238095238, 4383)"
"(47.9554311774461, 1137)","(47.93650793650794, 2267)","(46.49923195084485, 4621)","(45.5297619047619, 5290)","(44.83333333333333, 5904)","(44.24141749723146, 2251)","(44.097826086956516, 4701)","(43.94566052227342, 3283)","(43.90765765765766, 270)","(43.205306698950764, 5070)"
